sourceTaxonName;sourceLifeStageName;sourcePhysiologicalStateId;interactionTypeName;targetTaxonName;targetLifeStageName;targetPhysiologicalStateName;habitatName;localityName;decimalLatitude;decimalLongitude;depth;altitude;observationDateTime;referenceDoi;referenceUrl;referenceCitation
Osmia latreillei;;;floral resource from;Zygophyllum sp;;;;Egypt-Ismailia;;;;;;10.2478/jas-2013-0004;https://sciendo.com/article/10.2478/jas-2013-0004;"Shebl, Mohamed, Kamel, Soliman and Mahfouz, Hatem. ""Bee Fauna (Apoidea: Hymenoptera) of the Suez Canal Region, Egypt"" Journal of Apicultural Science, vol.57, no.1, 2013, pp.33-44. https://doi.org/10.2478/jas-2013-0004"
Osmia submicans Morawitz;;;floral resource from;Brassica sp.;;;;Egypt-Ismailia;;;;;;10.2478/jas-2013-0004;https://sciendo.com/article/10.2478/jas-2013-0004;"Shebl, Mohamed, Kamel, Soliman and Mahfouz, Hatem. ""Bee Fauna (Apoidea: Hymenoptera) of the Suez Canal Region, Egypt"" Journal of Apicultural Science, vol.57, no.1, 2013, pp.33-44. https://doi.org/10.2478/jas-2013-0004"
Osmia submicans Morawitz;;;floral resource from;Trifolium alexandrinum;;;;Egypt-Ismailia;;;;;;10.2478/jas-2013-0004;https://sciendo.com/article/10.2478/jas-2013-0004;"Shebl, Mohamed, Kamel, Soliman and Mahfouz, Hatem. ""Bee Fauna (Apoidea: Hymenoptera) of the Suez Canal Region, Egypt"" Journal of Apicultural Science, vol.57, no.1, 2013, pp.33-44. https://doi.org/10.2478/jas-2013-0004"
Xylocopa aestuans (Linnaeus;;;floral resource from;Medicago sativa;;;;Egypt-suez;;;;;;10.2478/jas-2013-0004;https://sciendo.com/article/10.2478/jas-2013-0004;"Shebl, Mohamed, Kamel, Soliman and Mahfouz, Hatem. ""Bee Fauna (Apoidea: Hymenoptera) of the Suez Canal Region, Egypt"" Journal of Apicultural Science, vol.57, no.1, 2013, pp.33-44. https://doi.org/10.2478/jas-2013-0004"
Xylocopa pubescens Spinola;;;floral resource from;Trifolium alexandrinum, , ;;;;Egypt-Ismailia and suez;;;;;;10.2478/jas-2013-0004;https://sciendo.com/article/10.2478/jas-2013-0004;"Shebl, Mohamed, Kamel, Soliman and Mahfouz, Hatem. ""Bee Fauna (Apoidea: Hymenoptera) of the Suez Canal Region, Egypt"" Journal of Apicultural Science, vol.57, no.1, 2013, pp.33-44. https://doi.org/10.2478/jas-2013-0004"
Xylocopa pubescens Spinola;;;floral resource from;Sesamum indicum;;;;Egypt-Ismailia and suez;;;;;;10.2478/jas-2013-0004;https://sciendo.com/article/10.2478/jas-2013-0004;"Shebl, Mohamed, Kamel, Soliman and Mahfouz, Hatem. ""Bee Fauna (Apoidea: Hymenoptera) of the Suez Canal Region, Egypt"" Journal of Apicultural Science, vol.57, no.1, 2013, pp.33-44. https://doi.org/10.2478/jas-2013-0004"
Xylocopa pubescens Spinola;;;floral resource from;Zygophyllum sp.;;;;Egypt-Ismailia and suez;;;;;;10.2478/jas-2013-0004;https://sciendo.com/article/10.2478/jas-2013-0004;"Shebl, Mohamed, Kamel, Soliman and Mahfouz, Hatem. ""Bee Fauna (Apoidea: Hymenoptera) of the Suez Canal Region, Egypt"" Journal of Apicultural Science, vol.57, no.1, 2013, pp.33-44. https://doi.org/10.2478/jas-2013-0004"
Ceratina citriphila Cockerell;;;floral resource from;Brassica sp.;;;;Egypt-Ismailia;;;;;;10.2478/jas-2013-0004;https://sciendo.com/article/10.2478/jas-2013-0004;"Shebl, Mohamed, Kamel, Soliman and Mahfouz, Hatem. ""Bee Fauna (Apoidea: Hymenoptera) of the Suez Canal Region, Egypt"" Journal of Apicultural Science, vol.57, no.1, 2013, pp.33-44. https://doi.org/10.2478/jas-2013-0004"
Ceratina tarsata Morawitz;;;floral resource from;Trifolium alexandrinum,, , ;;;;Egypt-suez and south sinai;;;;;;10.2478/jas-2013-0004;https://sciendo.com/article/10.2478/jas-2013-0004;"Shebl, Mohamed, Kamel, Soliman and Mahfouz, Hatem. ""Bee Fauna (Apoidea: Hymenoptera) of the Suez Canal Region, Egypt"" Journal of Apicultural Science, vol.57, no.1, 2013, pp.33-44. https://doi.org/10.2478/jas-2013-0004"
Ceratina tarsata Morawitz;;;floral resource from; Sesamum indicum;;;;Egypt-Ismailia;;;;;;10.2478/jas-2013-0004;https://sciendo.com/article/10.2478/jas-2013-0004;"Shebl, Mohamed, Kamel, Soliman and Mahfouz, Hatem. ""Bee Fauna (Apoidea: Hymenoptera) of the Suez Canal Region, Egypt"" Journal of Apicultural Science, vol.57, no.1, 2013, pp.33-44. https://doi.org/10.2478/jas-2013-0004"
Ceratina tarsata Morawitz;;;floral resource from;Zygophyllum sp.;;;;Egypt-Suez and Ismalia;;;;;;10.2478/jas-2013-0004;https://sciendo.com/article/10.2478/jas-2013-0004;"Shebl, Mohamed, Kamel, Soliman and Mahfouz, Hatem. ""Bee Fauna (Apoidea: Hymenoptera) of the Suez Canal Region, Egypt"" Journal of Apicultural Science, vol.57, no.1, 2013, pp.33-44. https://doi.org/10.2478/jas-2013-0004"
Ceratina tarsata Morawitz;;;floral resource from;Medicago sativa;;;;Egypt-Suez and Ismalia;;;;;;10.2478/jas-2013-0004;https://sciendo.com/article/10.2478/jas-2013-0004;"Shebl, Mohamed, Kamel, Soliman and Mahfouz, Hatem. ""Bee Fauna (Apoidea: Hymenoptera) of the Suez Canal Region, Egypt"" Journal of Apicultural Science, vol.57, no.1, 2013, pp.33-44. https://doi.org/10.2478/jas-2013-0004"
Amegilla quadrifasciata;;;floral resource from;Brassica sp.;;;;Egypt-Ismailia;;;;;;10.2478/jas-2013-0004;https://sciendo.com/article/10.2478/jas-2013-0004;"Shebl, Mohamed, Kamel, Soliman and Mahfouz, Hatem. ""Bee Fauna (Apoidea: Hymenoptera) of the Suez Canal Region, Egypt"" Journal of Apicultural Science, vol.57, no.1, 2013, pp.33-44. https://doi.org/10.2478/jas-2013-0004"
Anthophora senescens Lepeletier;;;floral resource from;Zygophyllum sp., ;;;;Egypt-suez and Ismailia;;;;;;10.2478/jas-2013-0004;https://sciendo.com/article/10.2478/jas-2013-0004;"Shebl, Mohamed, Kamel, Soliman and Mahfouz, Hatem. ""Bee Fauna (Apoidea: Hymenoptera) of the Suez Canal Region, Egypt"" Journal of Apicultural Science, vol.57, no.1, 2013, pp.33-44. https://doi.org/10.2478/jas-2013-0004"
Anthophora senescens Lepeletier;;;floral resource from;Brassica sp.;;;;Egypt-suez and Ismailia;;;;;;10.2478/jas-2013-0004;https://sciendo.com/article/10.2478/jas-2013-0004;"Shebl, Mohamed, Kamel, Soliman and Mahfouz, Hatem. ""Bee Fauna (Apoidea: Hymenoptera) of the Suez Canal Region, Egypt"" Journal of Apicultural Science, vol.57, no.1, 2013, pp.33-44. https://doi.org/10.2478/jas-2013-0004"
Amegilla mimadvena Cockerell;;;floral resource from;Hibiscus surattensis Linnaeus;;;Forest and farmland;Kenya -Kwale;;;;;;;https://ir-library.ku.ac.ke/handle/123456789/4175;Chiawo, D. O., Ogol, C. K. P., Gikungu, W. M., & Kioko, E. N. (2011). Composition and floral resources of bees and butterflies in Kaya Muhaka forest and surrounding farmlands, Kwale County, Kenya (Doctoral dissertation, Master Thesis, Kenyatta University, Kenya).
Amegilla sp. 1;;;floral resource from;Vernonia cinerea Less;;;Forest and farmland;Kenya -Kwale;;;;;;;https://ir-library.ku.ac.ke/handle/123456789/4175;Chiawo, D. O., Ogol, C. K. P., Gikungu, W. M., & Kioko, E. N. (2011). Composition and floral resources of bees and butterflies in Kaya Muhaka forest and surrounding farmlands, Kwale County, Kenya (Doctoral dissertation, Master Thesis, Kenyatta University, Kenya).
Amegilla sp. 1;;;floral resource from;Rhynchosia velutina Wight & Arn;;;Forest and farmland;Kenya -Kwale;;;;;;;https://ir-library.ku.ac.ke/handle/123456789/4175;Chiawo, D. O., Ogol, C. K. P., Gikungu, W. M., & Kioko, E. N. (2011). Composition and floral resources of bees and butterflies in Kaya Muhaka forest and surrounding farmlands, Kwale County, Kenya (Doctoral dissertation, Master Thesis, Kenyatta University, Kenya).
Amegilla sp. 1;;;floral resource from;Julbernardia magnistipulata Harms;;;Forest and farmland;Kenya -Kwale;;;;;;;https://ir-library.ku.ac.ke/handle/123456789/4175;Chiawo, D. O., Ogol, C. K. P., Gikungu, W. M., & Kioko, E. N. (2011). Composition and floral resources of bees and butterflies in Kaya Muhaka forest and surrounding farmlands, Kwale County, Kenya (Doctoral dissertation, Master Thesis, Kenyatta University, Kenya).
Amegilla sp. 1;;;floral resource from;Agathisanthemum bojeri Klotzsch;;;Forest and farmland;Kenya -Kwale;;;;;;;https://ir-library.ku.ac.ke/handle/123456789/4175;Chiawo, D. O., Ogol, C. K. P., Gikungu, W. M., & Kioko, E. N. (2011). Composition and floral resources of bees and butterflies in Kaya Muhaka forest and surrounding farmlands, Kwale County, Kenya (Doctoral dissertation, Master Thesis, Kenyatta University, Kenya).
Apis mellifera Linnaeus ;;;floral resource from;Nesaea radicans Guill. & Perr.;;;Forest and farmland;Kenya -Kwale;;;;;;;https://ir-library.ku.ac.ke/handle/123456789/4175;Chiawo, D. O., Ogol, C. K. P., Gikungu, W. M., & Kioko, E. N. (2011). Composition and floral resources of bees and butterflies in Kaya Muhaka forest and surrounding farmlands, Kwale County, Kenya (Doctoral dissertation, Master Thesis, Kenyatta University, Kenya).
Apis mellifera Linnaeus ;;;floral resource from;Abutilon zanzibaricum Bojer ex Mast;;;Forest and farmland;Kenya -Kwale;;;;;;;https://ir-library.ku.ac.ke/handle/123456789/4175;Chiawo, D. O., Ogol, C. K. P., Gikungu, W. M., & Kioko, E. N. (2011). Composition and floral resources of bees and butterflies in Kaya Muhaka forest and surrounding farmlands, Kwale County, Kenya (Doctoral dissertation, Master Thesis, Kenyatta University, Kenya).
Apis mellifera Linnaeus ;;;floral resource from;Tridax procumbens Linnaeus;;;Forest and farmland;Kenya -Kwale;;;;;;;https://ir-library.ku.ac.ke/handle/123456789/4175;Chiawo, D. O., Ogol, C. K. P., Gikungu, W. M., & Kioko, E. N. (2011). Composition and floral resources of bees and butterflies in Kaya Muhaka forest and surrounding farmlands, Kwale County, Kenya (Doctoral dissertation, Master Thesis, Kenyatta University, Kenya).
Apis mellifera Linnaeus ;;;floral resource from;Sorindeia madagascariensis DC.;;;Forest and farmland;Kenya -Kwale;;;;;;;https://ir-library.ku.ac.ke/handle/123456789/4175;Chiawo, D. O., Ogol, C. K. P., Gikungu, W. M., & Kioko, E. N. (2011). Composition and floral resources of bees and butterflies in Kaya Muhaka forest and surrounding farmlands, Kwale County, Kenya (Doctoral dissertation, Master Thesis, Kenyatta University, Kenya).
Apis mellifera Linnaeus ;;;floral resource from;Ludwigia sp.;;;Forest and farmland;Kenya -Kwale;;;;;;;https://ir-library.ku.ac.ke/handle/123456789/4175;Chiawo, D. O., Ogol, C. K. P., Gikungu, W. M., & Kioko, E. N. (2011). Composition and floral resources of bees and butterflies in Kaya Muhaka forest and surrounding farmlands, Kwale County, Kenya (Doctoral dissertation, Master Thesis, Kenyatta University, Kenya).
Apis mellifera Linnaeus ;;;floral resource from;Julbernardia magnistipulata Harms;;;Forest and farmland;Kenya -Kwale;;;;;;;https://ir-library.ku.ac.ke/handle/123456789/4175;Chiawo, D. O., Ogol, C. K. P., Gikungu, W. M., & Kioko, E. N. (2011). Composition and floral resources of bees and butterflies in Kaya Muhaka forest and surrounding farmlands, Kwale County, Kenya (Doctoral dissertation, Master Thesis, Kenyatta University, Kenya).
Apis mellifera Linnaeus ;;;floral resource from;Agathisanthemum bojeri Klotzsch;;;Forest and farmland;Kenya -Kwale;;;;;;;https://ir-library.ku.ac.ke/handle/123456789/4175;Chiawo, D. O., Ogol, C. K. P., Gikungu, W. M., & Kioko, E. N. (2011). Composition and floral resources of bees and butterflies in Kaya Muhaka forest and surrounding farmlands, Kwale County, Kenya (Doctoral dissertation, Master Thesis, Kenyatta University, Kenya).
Braunsapis sp.;;;floral resource from;Paulinia piñata Linnaeus;;;Forest and farmland;Kenya -Kwale;;;;;;;https://ir-library.ku.ac.ke/handle/123456789/4175;Chiawo, D. O., Ogol, C. K. P., Gikungu, W. M., & Kioko, E. N. (2011). Composition and floral resources of bees and butterflies in Kaya Muhaka forest and surrounding farmlands, Kwale County, Kenya (Doctoral dissertation, Master Thesis, Kenyatta University, Kenya).
Braunsapis sp.;;;floral resource from;Hoslundia opposita Vahl.;;;Forest and farmland;Kenya -Kwale;;;;;;;https://ir-library.ku.ac.ke/handle/123456789/4175;Chiawo, D. O., Ogol, C. K. P., Gikungu, W. M., & Kioko, E. N. (2011). Composition and floral resources of bees and butterflies in Kaya Muhaka forest and surrounding farmlands, Kwale County, Kenya (Doctoral dissertation, Master Thesis, Kenyatta University, Kenya).
Braunsapis sp.;;;floral resource from;Crotalaria emarginata Benth;;;Forest and farmland;Kenya -Kwale;;;;;;;https://ir-library.ku.ac.ke/handle/123456789/4175;Chiawo, D. O., Ogol, C. K. P., Gikungu, W. M., & Kioko, E. N. (2011). Composition and floral resources of bees and butterflies in Kaya Muhaka forest and surrounding farmlands, Kwale County, Kenya (Doctoral dissertation, Master Thesis, Kenyatta University, Kenya).
Braunsapis sp.;;;floral resource from;Cocos nucifera Linnaeus;;;Forest and farmland;Kenya -Kwale;;;;;;;https://ir-library.ku.ac.ke/handle/123456789/4175;Chiawo, D. O., Ogol, C. K. P., Gikungu, W. M., & Kioko, E. N. (2011). Composition and floral resources of bees and butterflies in Kaya Muhaka forest and surrounding farmlands, Kwale County, Kenya (Doctoral dissertation, Master Thesis, Kenyatta University, Kenya).
Ceratina sp. 1 ;;;floral resource from;Allophylus rubifolius Harms;;;Forest and farmland;Kenya -Kwale;;;;;;;https://ir-library.ku.ac.ke/handle/123456789/4175;Chiawo, D. O., Ogol, C. K. P., Gikungu, W. M., & Kioko, E. N. (2011). Composition and floral resources of bees and butterflies in Kaya Muhaka forest and surrounding farmlands, Kwale County, Kenya (Doctoral dissertation, Master Thesis, Kenyatta University, Kenya).
Ceratina sp. 1 ;;;floral resource from;Hoslundia opposita Vahl.;;;Forest and farmland;Kenya -Kwale;;;;;;;https://ir-library.ku.ac.ke/handle/123456789/4175;Chiawo, D. O., Ogol, C. K. P., Gikungu, W. M., & Kioko, E. N. (2011). Composition and floral resources of bees and butterflies in Kaya Muhaka forest and surrounding farmlands, Kwale County, Kenya (Doctoral dissertation, Master Thesis, Kenyatta University, Kenya).
Ceratina sp. 2;;;floral resource from;Tridax procumbens Linnaeus;;;Forest and farmland;Kenya -Kwale;;;;;;;https://ir-library.ku.ac.ke/handle/123456789/4175;Chiawo, D. O., Ogol, C. K. P., Gikungu, W. M., & Kioko, E. N. (2011). Composition and floral resources of bees and butterflies in Kaya Muhaka forest and surrounding farmlands, Kwale County, Kenya (Doctoral dissertation, Master Thesis, Kenyatta University, Kenya).
Ceratina sp. 2;;;floral resource from;Agathisanthemum bojeri Klotzsch;;;Forest and farmland;Kenya -Kwale;;;;;;;https://ir-library.ku.ac.ke/handle/123456789/4175;Chiawo, D. O., Ogol, C. K. P., Gikungu, W. M., & Kioko, E. N. (2011). Composition and floral resources of bees and butterflies in Kaya Muhaka forest and surrounding farmlands, Kwale County, Kenya (Doctoral dissertation, Master Thesis, Kenyatta University, Kenya).
Ceratina sp. 3;;;floral resource from;Allophylus rubifolius Harms;;;Forest and farmland;Kenya -Kwale;;;;;;;https://ir-library.ku.ac.ke/handle/123456789/4175;Chiawo, D. O., Ogol, C. K. P., Gikungu, W. M., & Kioko, E. N. (2011). Composition and floral resources of bees and butterflies in Kaya Muhaka forest and surrounding farmlands, Kwale County, Kenya (Doctoral dissertation, Master Thesis, Kenyatta University, Kenya).
Ceratina sp. 3;;;floral resource from;Eriosema glomeratum Guill;;;Forest and farmland;Kenya -Kwale;;;;;;;https://ir-library.ku.ac.ke/handle/123456789/4175;Chiawo, D. O., Ogol, C. K. P., Gikungu, W. M., & Kioko, E. N. (2011). Composition and floral resources of bees and butterflies in Kaya Muhaka forest and surrounding farmlands, Kwale County, Kenya (Doctoral dissertation, Master Thesis, Kenyatta University, Kenya).
Ceratina sp. 3;;;floral resource from;Gossypioides kiekie Vahl.;;;Forest and farmland;Kenya -Kwale;;;;;;;https://ir-library.ku.ac.ke/handle/123456789/4175;Chiawo, D. O., Ogol, C. K. P., Gikungu, W. M., & Kioko, E. N. (2011). Composition and floral resources of bees and butterflies in Kaya Muhaka forest and surrounding farmlands, Kwale County, Kenya (Doctoral dissertation, Master Thesis, Kenyatta University, Kenya).
Ceratina sp. 3;;;floral resource from;Paulinia piñata Linnaeus;;;Forest and farmland;Kenya -Kwale;;;;;;;https://ir-library.ku.ac.ke/handle/123456789/4175;Chiawo, D. O., Ogol, C. K. P., Gikungu, W. M., & Kioko, E. N. (2011). Composition and floral resources of bees and butterflies in Kaya Muhaka forest and surrounding farmlands, Kwale County, Kenya (Doctoral dissertation, Master Thesis, Kenyatta University, Kenya).
Ceratina sp. 3;;;floral resource from;Waltheria indica Linnaeus;;;Forest and farmland;Kenya -Kwale;;;;;;;https://ir-library.ku.ac.ke/handle/123456789/4175;Chiawo, D. O., Ogol, C. K. P., Gikungu, W. M., & Kioko, E. N. (2011). Composition and floral resources of bees and butterflies in Kaya Muhaka forest and surrounding farmlands, Kwale County, Kenya (Doctoral dissertation, Master Thesis, Kenyatta University, Kenya).
Ceratina sp. 4;;;floral resource from;Agathisanthemum bojeri Klotzsch;;;Forest and farmland;Kenya -Kwale;;;;;;;https://ir-library.ku.ac.ke/handle/123456789/4175;Chiawo, D. O., Ogol, C. K. P., Gikungu, W. M., & Kioko, E. N. (2011). Composition and floral resources of bees and butterflies in Kaya Muhaka forest and surrounding farmlands, Kwale County, Kenya (Doctoral dissertation, Master Thesis, Kenyatta University, Kenya).
Ceratina sp. 5;;;floral resource from;Gaultheria indicia Linnaeus;;;Forest and farmland;Kenya -Kwale;;;;;;;https://ir-library.ku.ac.ke/handle/123456789/4175;Chiawo, D. O., Ogol, C. K. P., Gikungu, W. M., & Kioko, E. N. (2011). Composition and floral resources of bees and butterflies in Kaya Muhaka forest and surrounding farmlands, Kwale County, Kenya (Doctoral dissertation, Master Thesis, Kenyatta University, Kenya).
Ceratina sp. 6;;;floral resource from;Agathisanthemum bojeri Klotzsch;;;Forest and farmland;Kenya -Kwale;;;;;;;https://ir-library.ku.ac.ke/handle/123456789/4175;Chiawo, D. O., Ogol, C. K. P., Gikungu, W. M., & Kioko, E. N. (2011). Composition and floral resources of bees and butterflies in Kaya Muhaka forest and surrounding farmlands, Kwale County, Kenya (Doctoral dissertation, Master Thesis, Kenyatta University, Kenya).
Ceratina sp. 7;;;floral resource from;Agathisanthemum bojeri Klotzsch;;;Forest and farmland;Kenya -Kwale;;;;;;;https://ir-library.ku.ac.ke/handle/123456789/4175;Chiawo, D. O., Ogol, C. K. P., Gikungu, W. M., & Kioko, E. N. (2011). Composition and floral resources of bees and butterflies in Kaya Muhaka forest and surrounding farmlands, Kwale County, Kenya (Doctoral dissertation, Master Thesis, Kenyatta University, Kenya).
Ceratina sp. 7;;;floral resource from;Waltheria indica Linnaeus;;;Forest and farmland;Kenya -Kwale;;;;;;;https://ir-library.ku.ac.ke/handle/123456789/4175;Chiawo, D. O., Ogol, C. K. P., Gikungu, W. M., & Kioko, E. N. (2011). Composition and floral resources of bees and butterflies in Kaya Muhaka forest and surrounding farmlands, Kwale County, Kenya (Doctoral dissertation, Master Thesis, Kenyatta University, Kenya).
Dactylurina schmidti Stadelmann;;;floral resource from;Cajanus cajan Linnaeus;;;Forest and farmland;Kenya -Kwale;;;;;;;https://ir-library.ku.ac.ke/handle/123456789/4175;Chiawo, D. O., Ogol, C. K. P., Gikungu, W. M., & Kioko, E. N. (2011). Composition and floral resources of bees and butterflies in Kaya Muhaka forest and surrounding farmlands, Kwale County, Kenya (Doctoral dissertation, Master Thesis, Kenyatta University, Kenya).
Dactylurina schmidti Stadelmann;;;floral resource from;Urena lobata Linnaeus;;;Forest and farmland;Kenya -Kwale;;;;;;;https://ir-library.ku.ac.ke/handle/123456789/4175;Chiawo, D. O., Ogol, C. K. P., Gikungu, W. M., & Kioko, E. N. (2011). Composition and floral resources of bees and butterflies in Kaya Muhaka forest and surrounding farmlands, Kwale County, Kenya (Doctoral dissertation, Master Thesis, Kenyatta University, Kenya).
Euaspis sp. ;;;floral resource from;Paulinia piñata Linnaeus;;;Forest and farmland;Kenya -Kwale;;;;;;;https://ir-library.ku.ac.ke/handle/123456789/4175;Chiawo, D. O., Ogol, C. K. P., Gikungu, W. M., & Kioko, E. N. (2011). Composition and floral resources of bees and butterflies in Kaya Muhaka forest and surrounding farmlands, Kwale County, Kenya (Doctoral dissertation, Master Thesis, Kenyatta University, Kenya).
Heriades sp.;;;floral resource from; Truimfetta rhomboidea Jacq.;;;Forest and farmland;Kenya -Kwale;;;;;;;https://ir-library.ku.ac.ke/handle/123456789/4175;Chiawo, D. O., Ogol, C. K. P., Gikungu, W. M., & Kioko, E. N. (2011). Composition and floral resources of bees and butterflies in Kaya Muhaka forest and surrounding farmlands, Kwale County, Kenya (Doctoral dissertation, Master Thesis, Kenyatta University, Kenya).
Hypotrigona sp. 1;;;floral resource from; Cajanus cajan Linnaeus;;;Forest and farmland;Kenya -Kwale;;;;;;;https://ir-library.ku.ac.ke/handle/123456789/4175;Chiawo, D. O., Ogol, C. K. P., Gikungu, W. M., & Kioko, E. N. (2011). Composition and floral resources of bees and butterflies in Kaya Muhaka forest and surrounding farmlands, Kwale County, Kenya (Doctoral dissertation, Master Thesis, Kenyatta University, Kenya).
Hypotrigona sp. 2 ;;;floral resource from;Cajanus cajan Linnaeus;;;Forest and farmland;Kenya -Kwale;;;;;;;https://ir-library.ku.ac.ke/handle/123456789/4175;Chiawo, D. O., Ogol, C. K. P., Gikungu, W. M., & Kioko, E. N. (2011). Composition and floral resources of bees and butterflies in Kaya Muhaka forest and surrounding farmlands, Kwale County, Kenya (Doctoral dissertation, Master Thesis, Kenyatta University, Kenya).
Lasioglosum sp. ;;;floral resource from;Allophylus rubifolius Harms;;;Forest and farmland;Kenya -Kwale;;;;;;;https://ir-library.ku.ac.ke/handle/123456789/4175;Chiawo, D. O., Ogol, C. K. P., Gikungu, W. M., & Kioko, E. N. (2011). Composition and floral resources of bees and butterflies in Kaya Muhaka forest and surrounding farmlands, Kwale County, Kenya (Doctoral dissertation, Master Thesis, Kenyatta University, Kenya).
Lasioglosum sp. ;;;floral resource from;Eriosema glomeratum Guill. & Perr.;;;Forest and farmland;Kenya -Kwale;;;;;;;https://ir-library.ku.ac.ke/handle/123456789/4175;Chiawo, D. O., Ogol, C. K. P., Gikungu, W. M., & Kioko, E. N. (2011). Composition and floral resources of bees and butterflies in Kaya Muhaka forest and surrounding farmlands, Kwale County, Kenya (Doctoral dissertation, Master Thesis, Kenyatta University, Kenya).
Lasioglosum sp. ;;;floral resource from;Truimfetta rhomboidea Jacq.;;;Forest and farmland;Kenya -Kwale;;;;;;;https://ir-library.ku.ac.ke/handle/123456789/4175;Chiawo, D. O., Ogol, C. K. P., Gikungu, W. M., & Kioko, E. N. (2011). Composition and floral resources of bees and butterflies in Kaya Muhaka forest and surrounding farmlands, Kwale County, Kenya (Doctoral dissertation, Master Thesis, Kenyatta University, Kenya).
Lipotriches sp. 1 ;;;floral resource from;Pupalia lappacea Linnaeus;;;Forest and farmland;Kenya -Kwale;;;;;;;https://ir-library.ku.ac.ke/handle/123456789/4175;Chiawo, D. O., Ogol, C. K. P., Gikungu, W. M., & Kioko, E. N. (2011). Composition and floral resources of bees and butterflies in Kaya Muhaka forest and surrounding farmlands, Kwale County, Kenya (Doctoral dissertation, Master Thesis, Kenyatta University, Kenya).
Lipotriches sp. 2;;;floral resource from; Pupalia lappacea Linnaeus;;;Forest and farmland;Kenya -Kwale;;;;;;;https://ir-library.ku.ac.ke/handle/123456789/4175;Chiawo, D. O., Ogol, C. K. P., Gikungu, W. M., & Kioko, E. N. (2011). Composition and floral resources of bees and butterflies in Kaya Muhaka forest and surrounding farmlands, Kwale County, Kenya (Doctoral dissertation, Master Thesis, Kenyatta University, Kenya).
Lipotriches sp. 3 ;;;floral resource from;Agathisanthemum bojeri Klotzsch;;;Forest and farmland;Kenya -Kwale;;;;;;;https://ir-library.ku.ac.ke/handle/123456789/4175;Chiawo, D. O., Ogol, C. K. P., Gikungu, W. M., & Kioko, E. N. (2011). Composition and floral resources of bees and butterflies in Kaya Muhaka forest and surrounding farmlands, Kwale County, Kenya (Doctoral dissertation, Master Thesis, Kenyatta University, Kenya).
Lipotriches sp. 4 ;;;floral resource from;Hoslundia opposita Vahl.;;;Forest and farmland;Kenya -Kwale;;;;;;;https://ir-library.ku.ac.ke/handle/123456789/4175;Chiawo, D. O., Ogol, C. K. P., Gikungu, W. M., & Kioko, E. N. (2011). Composition and floral resources of bees and butterflies in Kaya Muhaka forest and surrounding farmlands, Kwale County, Kenya (Doctoral dissertation, Master Thesis, Kenyatta University, Kenya).
Macrogalea candida Smith ;;;floral resource from;Agathisanthemum bojeri Klotzsch;;;Forest and farmland;Kenya -Kwale;;;;;;;https://ir-library.ku.ac.ke/handle/123456789/4175;Chiawo, D. O., Ogol, C. K. P., Gikungu, W. M., & Kioko, E. N. (2011). Composition and floral resources of bees and butterflies in Kaya Muhaka forest and surrounding farmlands, Kwale County, Kenya (Doctoral dissertation, Master Thesis, Kenyatta University, Kenya).
Macrogalea candida Smith ;;;floral resource from;Waltheria indica Linnaeus;;;Forest and farmland;Kenya -Kwale;;;;;;;https://ir-library.ku.ac.ke/handle/123456789/4175;Chiawo, D. O., Ogol, C. K. P., Gikungu, W. M., & Kioko, E. N. (2011). Composition and floral resources of bees and butterflies in Kaya Muhaka forest and surrounding farmlands, Kwale County, Kenya (Doctoral dissertation, Master Thesis, Kenyatta University, Kenya).
Macrogalea candida Smith ;;;floral resource from;Hewittia malabarica Linnaeus;;;Forest and farmland;Kenya -Kwale;;;;;;;https://ir-library.ku.ac.ke/handle/123456789/4175;Chiawo, D. O., Ogol, C. K. P., Gikungu, W. M., & Kioko, E. N. (2011). Composition and floral resources of bees and butterflies in Kaya Muhaka forest and surrounding farmlands, Kwale County, Kenya (Doctoral dissertation, Master Thesis, Kenyatta University, Kenya).
Megachile discolour Smith ;;;floral resource from;Crotalaria emarginata Benth;;;Forest and farmland;Kenya -Kwale;;;;;;;https://ir-library.ku.ac.ke/handle/123456789/4175;Chiawo, D. O., Ogol, C. K. P., Gikungu, W. M., & Kioko, E. N. (2011). Composition and floral resources of bees and butterflies in Kaya Muhaka forest and surrounding farmlands, Kwale County, Kenya (Doctoral dissertation, Master Thesis, Kenyatta University, Kenya).
Megachile felina Gerstacker ;;;floral resource from;Crotalaria emarginata Benth;;;Forest and farmland;Kenya -Kwale;;;;;;;https://ir-library.ku.ac.ke/handle/123456789/4175;Chiawo, D. O., Ogol, C. K. P., Gikungu, W. M., & Kioko, E. N. (2011). Composition and floral resources of bees and butterflies in Kaya Muhaka forest and surrounding farmlands, Kwale County, Kenya (Doctoral dissertation, Master Thesis, Kenyatta University, Kenya).
Megachile sp. 2 ;;;floral resource from;Indigofera paniculata.Vahl. ex Pers.;;;Forest and farmland;Kenya -Kwale;;;;;;;https://ir-library.ku.ac.ke/handle/123456789/4175;Chiawo, D. O., Ogol, C. K. P., Gikungu, W. M., & Kioko, E. N. (2011). Composition and floral resources of bees and butterflies in Kaya Muhaka forest and surrounding farmlands, Kwale County, Kenya (Doctoral dissertation, Master Thesis, Kenyatta University, Kenya).
